code,description_short,description_long,is_billable,status,valid_from
1,Deductible Amount,Deductible Amount,,active,1995-01-01T00:00:00Z
10,The diagnosis is inconsistent with the patient's gender,"The diagnosis is inconsistent with the patient's gender. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,active,1995-01-01T00:00:00Z
100,Payment made to patient/insured/responsible party,Payment made to patient/insured/responsible party.,,active,1995-01-01T00:00:00Z
101,Predetermination: anticipated payment upon completion of services or claim adjudication,Predetermination: anticipated payment upon completion of services or claim adjudication.,,active,1995-01-01T00:00:00Z
102,Major Medical Adjustment,Major Medical Adjustment.,,active,1995-01-01T00:00:00Z
103,Provider promotional discount (e,"Provider promotional discount (e.g., Senior citizen discount).",,active,1995-01-01T00:00:00Z
104,Managed care withholding,Managed care withholding.,,active,1995-01-01T00:00:00Z
105,Tax withholding,Tax withholding.,,active,1995-01-01T00:00:00Z
106,Patient payment option/election not in effect,Patient payment option/election not in effect.,,active,1995-01-01T00:00:00Z
107,The related or qualifying claim/service was not identified on this claim,"The related or qualifying claim/service was not identified on this claim. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,active,1995-01-01T00:00:00Z
108,Rent/purchase guidelines were not met,"Rent/purchase guidelines were not met. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,active,1995-01-01T00:00:00Z
109,Claim/service not covered by this payer/contractor,Claim/service not covered by this payer/contractor. You must send the claim/service to the correct payer/contractor.,,active,1995-01-01T00:00:00Z
11,The diagnosis is inconsistent with the procedure,"The diagnosis is inconsistent with the procedure. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,active,1995-01-01T00:00:00Z
110,Billing date predates service date,Billing date predates service date.,,active,1995-01-01T00:00:00Z
111,Not covered unless the provider accepts assignment,Not covered unless the provider accepts assignment.,,active,1995-01-01T00:00:00Z
112,Service not furnished directly to the patient and/or not documented,Service not furnished directly to the patient and/or not documented.,,active,1995-01-01T00:00:00Z
113,Payment denied because service/procedure was provided outside the United States or as a result of war,Payment denied because service/procedure was provided outside the United States or as a result of war.,,active,1995-01-01T00:00:00Z
114,Procedure/product not approved by the Food and Drug Administration,Procedure/product not approved by the Food and Drug Administration.,,active,1995-01-01T00:00:00Z
115,"Procedure postponed, canceled, or delayed","Procedure postponed, canceled, or delayed.",,active,1995-01-01T00:00:00Z
116,The advance indemnification notice signed by the patient did not comply with requirements,The advance indemnification notice signed by the patient did not comply with requirements.,,active,1995-01-01T00:00:00Z
117,Transportation is only covered to the closest facility that can provide the necessary care,Transportation is only covered to the closest facility that can provide the necessary care.,,active,1995-01-01T00:00:00Z
118,ESRD network support adjustment,ESRD network support adjustment.,,active,1995-01-01T00:00:00Z
119,Benefit maximum for this time period or occurrence has been reached,Benefit maximum for this time period or occurrence has been reached.,,active,1995-01-01T00:00:00Z
12,The diagnosis is inconsistent with the provider type,"The diagnosis is inconsistent with the provider type. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,active,1995-01-01T00:00:00Z
120,Patient is covered by a managed care plan,Patient is covered by a managed care plan.,,active,1995-01-01T00:00:00Z
121,Indemnification adjustment - compensation for outstanding member responsibility,Indemnification adjustment - compensation for outstanding member responsibility.,,active,1995-01-01T00:00:00Z
122,Psychiatric reduction,Psychiatric reduction.,,active,1995-01-01T00:00:00Z
123,Payer refund due to overpayment,Payer refund due to overpayment.,,active,1995-01-01T00:00:00Z
124,Payer refund amount - not our patient,Payer refund amount - not our patient.,,active,1995-01-01T00:00:00Z
125,Submission/billing error(s),"Submission/billing error(s). At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)",,deprecated,1995-01-01T00:00:00Z
126,Deductible -- Major Medical,Deductible -- Major Medical,,active,1997-02-28T00:00:00Z
127,Coinsurance -- Major Medical,Coinsurance -- Major Medical,,active,1997-02-28T00:00:00Z
128,Newborn's services are covered in the mother's Allowance,Newborn's services are covered in the mother's Allowance.,,active,1997-02-28T00:00:00Z
129,Prior processing information appears incorrect,"Prior processing information appears incorrect. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)",,active,1997-02-28T00:00:00Z
13,The date of death precedes the date of service,The date of death precedes the date of service.,,active,1995-01-01T00:00:00Z
130,Claim submission fee,Claim submission fee.,,active,1997-02-28T00:00:00Z
131,Claim specific negotiated discount,Claim specific negotiated discount.,,active,1997-02-28T00:00:00Z
132,Prearranged demonstration project adjustment,Prearranged demonstration project adjustment.,,active,1997-02-28T00:00:00Z
133,The disposition of this service line is pending further review,The disposition of this service line is pending further review. (Use only with Group Code OA). Usage: Use of this code requires a reversal and correction when the service line is finalized (use only in Loop 2110 CAS segment of the 835 or Loop 2430 of the 837).,,active,2014-07-01T00:00:00Z
134,Technical fees removed from charges,Technical fees removed from charges.,,active,1998-10-31T00:00:00Z
135,Interim bills cannot be processed,Interim bills cannot be processed.,,active,1998-10-31T00:00:00Z
136,Failure to follow prior payer's coverage rules,Failure to follow prior payer's coverage rules. (Use only with Group Code OA),,active,1998-10-31T00:00:00Z
137,"Regulatory Surcharges, Assessments, Allowances or Health Related Taxes","Regulatory Surcharges, Assessments, Allowances or Health Related Taxes.",,active,1999-02-28T00:00:00Z
138,Appeal procedures not followed or time limits not met,Appeal procedures not followed or time limits not met.,,deprecated,1999-06-30T00:00:00Z
139,Contracted funding agreement - Subscriber is employed by the provider of services,Contracted funding agreement - Subscriber is employed by the provider of services. Use only with Group Code CO.,,active,1999-06-30T00:00:00Z
14,The date of birth follows the date of service,The date of birth follows the date of service.,,active,1995-01-01T00:00:00Z
140,Patient/Insured health identification number and name do not match,Patient/Insured health identification number and name do not match.,,active,1999-06-30T00:00:00Z
141,Claim spans eligible and ineligible periods of coverage,Claim spans eligible and ineligible periods of coverage.,,deprecated,1999-06-30T00:00:00Z
142,Monthly Medicaid patient liability amount,Monthly Medicaid patient liability amount.,,active,2000-06-30T00:00:00Z
143,Portion of payment deferred,Portion of payment deferred.,,active,2001-02-28T00:00:00Z
144,"Incentive adjustment, e","Incentive adjustment, e.g. preferred product/service.",,active,2001-06-30T00:00:00Z
145,Premium payment withholding,Premium payment withholding,,active,2002-06-30T00:00:00Z
146,Diagnosis was invalid for the date(s) of service reported,Diagnosis was invalid for the date(s) of service reported.,,active,2002-06-30T00:00:00Z
147,Provider contracted/negotiated rate expired or not on file,Provider contracted/negotiated rate expired or not on file.,,active,2002-06-30T00:00:00Z
148,Information from another provider was not provided or was insufficient/incomplete,"Information from another provider was not provided or was insufficient/incomplete. At least one Remark Code must be provided (may be comprised of either the NCPDP Reject Reason Code, or Remittance Advice Remark Code that is not an ALERT.)",,active,2002-06-30T00:00:00Z
149,Lifetime benefit maximum has been reached for this service/benefit category,Lifetime benefit maximum has been reached for this service/benefit category.,,active,2002-10-31T00:00:00Z
15,"The authorization number is missing, invalid, or does not apply to the billed services or provider","The authorization number is missing, invalid, or does not apply to the billed services or provider.",,deprecated,1995-01-01T00:00:00Z
150,Payer deems the information submitted does not support this level of service,Payer deems the information submitted does not support this level of service.,,active,2002-10-31T00:00:00Z
151,Payment adjusted because the payer deems the information submitted does not support this many/frequency of services,Payment adjusted because the payer deems the information submitted does not support this many/frequency of services.,,active,2002-10-31T00:00:00Z
152,Payer deems the information submitted does not support this length of service,"Payer deems the information submitted does not support this length of service. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",,active,2002-10-31T00:00:00Z
153,Payer deems the information submitted does not support this dosage,Payer deems the information submitted does not support this dosage.,,active,2002-10-31T00:00:00Z
