code,description_short,description_long,is_billable,status,valid_from
A0021,Outside state ambulance serv,"Ambulance service, outside state per mile, transport (medicaid only)",True,active,1985-01-01T00:00:00Z
A0080,Noninterest escort in non er,"Non-emergency transportation, per mile - vehicle provided by volunteer",True,active,1982-01-01T00:00:00Z
A0090,Interest escort in non er,"Non-emergency transportation, per mile - vehicle provided by individual (family",True,active,1982-01-01T00:00:00Z
A0100,Nonemergency transport taxi,Non-emergency transportation; taxi,True,active,1982-01-01T00:00:00Z
A0110,Nonemergency transport bus,"Non-emergency transportation and bus, intra or inter state carrier",True,active,1984-01-01T00:00:00Z
A0120,Noner transport mini-bus,"Non-emergency transportation: mini-bus, mountain area transports, or other",True,active,1982-01-01T00:00:00Z
A0130,Noner transport wheelch van,Non-emergency transportation: wheelchair van,True,active,1982-01-01T00:00:00Z
A0140,Nonemergency transport air,Non-emergency transportation and air travel (private or commercial) intra or,True,active,1985-01-01T00:00:00Z
A0160,Noner transport case worker,Non-emergency transportation: per mile - case worker or social worker,True,active,1984-01-01T00:00:00Z
A0170,Transport parking fees/tolls,"Transportation ancillary: parking fees, tolls, other",True,active,1982-01-01T00:00:00Z
A0180,Noner transport lodgng recip,Non-emergency transportation: ancillary: lodging-recipient,True,active,1982-01-01T00:00:00Z
A0190,Noner transport meals recip,Non-emergency transportation: ancillary: meals-recipient,True,active,1984-01-01T00:00:00Z
A0200,Noner transport lodgng escrt,Non-emergency transportation: ancillary: lodging escort,True,active,1982-01-01T00:00:00Z
A0210,Noner transport meals escort,Non-emergency transportation: ancillary: meals-escort,True,active,1984-01-01T00:00:00Z
A0225,Neonatal emergency transport,"Ambulance service, neonatal transport, base rate, emergency transport, one way",True,active,1985-01-01T00:00:00Z
A0380,Basic life support mileage,Bls mileage (per mile),True,active,1995-01-01T00:00:00Z
A0382,Basic support routine suppls,Bls routine disposable supplies,True,active,1995-01-01T00:00:00Z
A0384,Bls defibrillation supplies,Bls specialized service disposable supplies; defibrillation (used by als,True,active,1995-01-01T00:00:00Z
A0390,Advanced life support mileag,Als mileage (per mile),True,active,1995-01-01T00:00:00Z
A0392,Als defibrillation supplies,Als specialized service disposable supplies; defibrillation (to be used only in,True,active,1995-01-01T00:00:00Z
A0394,Als iv drug therapy supplies,Als specialized service disposable supplies; iv drug therapy,True,active,1995-01-01T00:00:00Z
A0396,Als esophageal intub suppls,Als specialized service disposable supplies; esophageal intubation,True,active,1995-01-01T00:00:00Z
A0398,Als routine disposble suppls,Als routine disposable supplies,True,active,1995-01-01T00:00:00Z
A0420,Ambulance waiting 1/2 hr,"Ambulance waiting time (als or bls), one half (1/2) hour increments",True,active,1995-01-01T00:00:00Z
A0422,Ambulance 02 life sustaining,"Ambulance (als or bls) oxygen and oxygen supplies, life sustaining situation",True,active,1995-01-01T00:00:00Z
A0424,Extra ambulance attendant,"Extra ambulance attendant, ground (als or bls) or air (fixed or rotary winged);",True,active,1995-01-01T00:00:00Z
A0425,Ground mileage,"Ground mileage, per statute mile",True,active,2001-01-01T00:00:00Z
A0426,Als 1,"Ambulance service, advanced life support, non-emergency transport, level 1 (als",True,active,2001-01-01T00:00:00Z
A0427,Als1-emergency,"Ambulance service, advanced life support, emergency transport, level 1 (als 1 -",True,active,2001-01-01T00:00:00Z
A0428,Bls,"Ambulance service, basic life support, non-emergency transport, (bls)",True,active,2001-01-01T00:00:00Z
A0429,Bls-emergency,"Ambulance service, basic life support, emergency transport (bls-emergency)",True,active,2001-01-01T00:00:00Z
A0430,Fixed wing air transport,"Ambulance service, conventional air services, transport, one way (fixed wing)",True,active,2001-01-01T00:00:00Z
A0431,Rotary wing air transport,"Ambulance service, conventional air services, transport, one way (rotary wing)",True,active,2001-01-01T00:00:00Z
A0432,Pi volunteer ambulance co,"Paramedic intercept (pi), rural area, transport furnished by a volunteer",True,active,2001-01-01T00:00:00Z
A0433,Als 2,"Advanced life support, level 2 (als 2)",True,active,2001-01-01T00:00:00Z
A0434,Specialty care transport,Specialty care transport (sct),True,active,2001-01-01T00:00:00Z
A0435,Fixed wing air mileage,"Fixed wing air mileage, per statute mile",True,active,2001-01-01T00:00:00Z
A0436,Rotary wing air mileage,"Rotary wing air mileage, per statute mile",True,active,2001-01-01T00:00:00Z
A0888,Noncovered ambulance mileage,"Noncovered ambulance mileage, per mile (e.g., for miles traveled beyond closest",True,active,1995-01-01T00:00:00Z
A0998,Ambulance response/treatment,"Ambulance response and treatment, no transport",True,active,2006-01-01T00:00:00Z
A0999,Unlisted ambulance service,Unlisted ambulance service,True,active,1987-01-01T00:00:00Z
