code,description_short,description_long,is_billable,status,valid_from
A1,Dressing for one wound,Dressing for one wound,,active,2002-07-01T00:00:00Z
A2,Dressing for two wounds,Dressing for two wounds,,active,2002-07-01T00:00:00Z
A3,Dressing for three wounds,Dressing for three wounds,,active,2002-07-01T00:00:00Z
A4,Dressing for four wounds,Dressing for four wounds,,active,2002-07-01T00:00:00Z
A5,Dressing for five wounds,Dressing for five wounds,,active,2002-07-01T00:00:00Z
A6,Dressing for six wounds,Dressing for six wounds,,active,2002-07-01T00:00:00Z
A7,Dressing for seven wounds,Dressing for seven wounds,,active,2002-07-01T00:00:00Z
A8,Dressing for eight wounds,Dressing for eight wounds,,active,2002-07-01T00:00:00Z
A9,Dressing for 9 or more wound,Dressing for nine or more wounds,,active,2002-07-01T00:00:00Z
AA,Anesthesia perf by anesgst,Anesthesia services performed personally by anesthesiologist,,active,1984-01-01T00:00:00Z
AB,Aud svs w/o order evry 12mo,Audiology service furnished personally by an audiologist without a,,active,2023-01-01T00:00:00Z
AD,"Md supervision, >4 anes proc",Medical supervision by a physician: more than four concurrent anesthesia,,active,1984-01-01T00:00:00Z
AE,Registered dietician,Registered dietician,,active,2005-01-01T00:00:00Z
AF,Specialty physician,Specialty physician,,active,2005-01-01T00:00:00Z
AG,Primary physician,Primary physician,,active,2005-01-01T00:00:00Z
AH,Clinical psychologist,Clinical psychologist,,active,1991-01-01T00:00:00Z
AI,Principal physician of rec,Principal physician of record,,active,2010-01-01T00:00:00Z
AJ,Clinical social worker,Clinical social worker,,active,1991-01-01T00:00:00Z
AK,Non participating physician,Non participating physician,,active,2005-01-01T00:00:00Z
AM,"Physician, team member svc","Physician, team member service",,active,1991-01-01T00:00:00Z
AO,Prov declined alt pmt method,Alternate payment method declined by provider of service,,active,2013-10-01T00:00:00Z
AP,No dtmn of refractive state,Determination of refractive state was not performed in the course of diagnostic,,active,1984-01-01T00:00:00Z
AQ,Physician service hpsa area,Physician providing a service in an unlisted health professional shortage area,,active,2006-01-01T00:00:00Z
AR,Physician scarcity area,Physician provider services in a physician scarcity area,,active,2005-01-01T00:00:00Z
AS,Assistant at surgery service,"Physician assistant, nurse practitioner, or clinical nurse specialist services",,active,1988-01-01T00:00:00Z
AT,Acute treatment,"Acute treatment (this modifier should be used when reporting service 98940,",,active,1984-01-01T00:00:00Z
AU,"Uro, ostomy or trach item","Item furnished in conjunction with a urological, ostomy, or tracheostomy supply",,active,2003-01-01T00:00:00Z
AV,Item w prosthetic/orthotic,"Item furnished in conjunction with a prosthetic device, prosthetic or orthotic",,active,2003-01-01T00:00:00Z
AW,Item w a surgical dressing,Item furnished in conjunction with a surgical dressing,,active,2003-01-01T00:00:00Z
AX,Item w dialysis services,Item furnished in conjunction with dialysis services,,active,2003-01-01T00:00:00Z
AY,Item/service not for esrd tx,Item or service furnished to an esrd patient that is not for the treatment of,,active,2011-01-01T00:00:00Z
AZ,Physician serv in dent hpsa,Physician providing a service in a dental health professional shortage area for,,active,2011-01-01T00:00:00Z
BA,Item w pen services,Item furnished in conjunction with parenteral enteral nutrition (pen) services,,active,2003-01-01T00:00:00Z
BL,Spec acquisition blood prods,Special acquisition of blood and blood products,,active,2005-07-01T00:00:00Z
BO,Nutrition oral admin no tube,"Orally administered nutrition, not by feeding tube",,active,2003-01-01T00:00:00Z
BP,Bene electd to purchase item,The beneficiary has been informed of the purchase and rental options and has,,active,1992-01-01T00:00:00Z
BR,Bene elected to rent item,The beneficiary has been informed of the purchase and rental options and has,,active,1992-01-01T00:00:00Z
BU,Bene undecided on purch/rent,The beneficiary has been informed of the purchase and rental options and after,,active,1992-01-01T00:00:00Z
CA,Procedure payable inpatient,Procedure payable only in the inpatient setting when performed emergently on an,,active,2003-01-01T00:00:00Z
CB,Esrd bene part a snf-sep pay,Service ordered by a renal dialysis facility (rdf) physician as part of the,,active,2003-04-01T00:00:00Z
CC,Procedure code change,Procedure code change (use 'cc' when the procedure code submitted was changed,,active,1990-01-01T00:00:00Z
CD,Amcc test for esrd or mcp md,Amcc test has been ordered by an esrd facility or mcp physician that is part of,,active,2004-01-01T00:00:00Z
CE,Med neces amcc tst sep reimb,Amcc test has been ordered by an esrd facility or mcp physician that is a,,active,2004-01-01T00:00:00Z
CF,Amcc tst not composite rate,Amcc test has been ordered by an esrd facility or mcp physician that is not,,active,2004-01-01T00:00:00Z
CG,Policy criteria applied,Policy criteria applied,,active,2008-07-01T00:00:00Z
CH,"0 percent impaired, ltd, res","0 percent impaired, limited or restricted",,active,2013-01-01T00:00:00Z
CI,1 to <20 percent impaired,"At least 1 percent but less than 20 percent impaired, limited or restricted",,active,2013-01-01T00:00:00Z
CJ,20 to <40 percent impaired,"At least 20 percent but less than 40 percent impaired, limited or restricted",,active,2013-01-01T00:00:00Z
CK,40 to <60 percent impaired,"At least 40 percent but less than 60 percent impaired, limited or restricted",,active,2013-01-01T00:00:00Z
CL,60 to <80 percent impaired,"At least 60 percent but less than 80 percent impaired, limited or restricted",,active,2013-01-01T00:00:00Z
CM,80 to <100 percent impaired,"At least 80 percent but less than 100 percent impaired, limited or restricted",,active,2013-01-01T00:00:00Z
CN,"100 percent impaired, ltd","100 percent impaired, limited or restricted",,active,2013-01-01T00:00:00Z
CO,Outpatient ot service by ota,Outpatient occupational therapy services furnished in whole or in part by an,,active,2019-01-01T00:00:00Z
CP,C-apc adjunctive service,Adjunctive service related to a procedure assigned to a comprehensive,,deprecated,2016-01-01T00:00:00Z
