code,description_short,description_long,is_billable,status,valid_from
1AA11,"Early - Community, MMTA - Other - Low, Comorbidity = 0","Early - Community, MMTA - Other - Low, Comorbidity = 0",True,active,2020-01-01T00:00:00Z
1AA21,"Early - Community, MMTA - Other - Low, Comorbidity = 1","Early - Community, MMTA - Other - Low, Comorbidity = 1",True,active,2020-01-01T00:00:00Z
1AA31,"Early - Community, MMTA - Other - Low, Comorbidity = 2","Early - Community, MMTA - Other - Low, Comorbidity = 2",True,active,2020-01-01T00:00:00Z
1AB11,"Early - Community, MMTA - Other - Medium, Comorbidity = 0","Early - Community, MMTA - Other - Medium, Comorbidity = 0",True,active,2020-01-01T00:00:00Z
1AB21,"Early - Community, MMTA - Other - Medium, Comorbidity = 1","Early - Community, MMTA - Other - Medium, Comorbidity = 1",True,active,2020-01-01T00:00:00Z
1AB31,"Early - Community, MMTA - Other - Medium, Comorbidity = 2","Early - Community, MMTA - Other - Medium, Comorbidity = 2",True,active,2020-01-01T00:00:00Z
1AC11,"Early - Community, MMTA - Other - High, Comorbidity = 0","Early - Community, MMTA - Other - High, Comorbidity = 0",True,active,2020-01-01T00:00:00Z
1AC21,"Early - Community, MMTA - Other - High, Comorbidity = 1","Early - Community, MMTA - Other - High, Comorbidity = 1",True,active,2020-01-01T00:00:00Z
1AC31,"Early - Community, MMTA - Other - High, Comorbidity = 2","Early - Community, MMTA - Other - High, Comorbidity = 2",True,active,2020-01-01T00:00:00Z
1AFK1,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Lev","Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 1, supplies not provided",True,active,2008-01-01T00:00:00Z
1AFK2,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Lev","Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 2, supplies not provided",True,active,2008-01-01T00:00:00Z
1AFK3,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Lev","Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 3, supplies not provided",True,active,2008-01-01T00:00:00Z
1AFK4,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Lev","Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 4, supplies not provided",True,active,2008-01-01T00:00:00Z
1AFK5,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Lev","Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 5, supplies not provided",True,active,2008-01-01T00:00:00Z
1AFK6,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Lev","Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 6, supplies not provided",True,active,2008-01-01T00:00:00Z
1AFKS,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Lev","Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 1, supplies provided",True,active,2008-01-01T00:00:00Z
1AFKT,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Lev","Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 2, supplies provided",True,active,2008-01-01T00:00:00Z
1AFKU,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Lev","Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 3, supplies provided",True,active,2008-01-01T00:00:00Z
1AFKV,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Lev","Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 4, supplies provided",True,active,2008-01-01T00:00:00Z
1AFKW,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Lev","Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 5, supplies provided",True,active,2008-01-01T00:00:00Z
1AFKX,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Lev","Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 1,Supply Severity Level 6, supplies provided",True,active,2008-01-01T00:00:00Z
1AFL1,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Lev","Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2,Supply Severity Level 1, supplies not provided",True,active,2008-01-01T00:00:00Z
1AFL2,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Lev","Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2,Supply Severity Level 2, supplies not provided",True,active,2008-01-01T00:00:00Z
1AFL3,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Lev","Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2,Supply Severity Level 3, supplies not provided",True,active,2008-01-01T00:00:00Z
1AFL4,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Lev","Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2,Supply Severity Level 4, supplies not provided",True,active,2008-01-01T00:00:00Z
1AFL5,"Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Lev","Early Episode, 0-13 therapies,Clinical Severity Level 1, Functional Severity Level 1,Service Severity Level 2,Supply Severity Level 5, supplies not provided",True,active,2008-01-01T00:00:00Z
