code,description_short,description_long,is_billable,status,valid_from
A0101,"Original description: Stroke with Motor >51.05.,without comorbidities,10/2019 de","Original description: Stroke with Motor >51.05.,without comorbidities,10/2019 description: Stroke M >=72.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0102,Original description: Stroke with Motor >44.45 & Motor <51.05 & Cognitive >18.5.,"Original description: Stroke with Motor >44.45 & Motor <51.05 & Cognitive >18.5.,without comorbidities,10/2019 description: Stroke M >=63.50 and M <72.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0103,Original description: Stroke with Motor >44.45 & Motor <51.05 & Cognitive <18.5.,"Original description: Stroke with Motor >44.45 & Motor <51.05 & Cognitive <18.5.,without comorbidities,10/2019 description: Stroke M >=50.50 and M <63.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0104,"Original description: Stroke with Motor >38.85 & Motor <44.45.,without comorbidi","Original description: Stroke with Motor >38.85 & Motor <44.45.,without comorbidities,10/2019 description: Stroke M >=41.50 and M <50.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0105,"Original description: Stroke with Motor >34.25 & Motor <38.85.,without comorbidi","Original description: Stroke with Motor >34.25 & Motor <38.85.,without comorbidities,10/2019 description: Stroke M <41.50 and A >=84.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0106,"Original description: Stroke with Motor >30.05 & Motor <34.25.,without comorbidi","Original description: Stroke with Motor >30.05 & Motor <34.25.,without comorbidities,10/2019 description: Stroke M <41.50 and A <84.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0107,"Stroke with Motor >26.15 & Motor <30.05.,without comorbidities","Stroke with Motor >26.15 & Motor <30.05.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0108,"Stroke with Motor <26.15 & Age >84.5, without comorbidities","Stroke with Motor <26.15 & Age >84.5, without comorbidities",True,active,2002-01-01T00:00:00Z
A0109,"Stroke with Motor >22.35 & Motor <26.15 & Age <84.5, without comorbidities","Stroke with Motor >22.35 & Motor <26.15 & Age <84.5, without comorbidities",True,active,2002-01-01T00:00:00Z
A0110,"Stroke with Motor <22.35 & Age <84.5, without comorbidities","Stroke with Motor <22.35 & Age <84.5, without comorbidities",True,active,2002-01-01T00:00:00Z
A0201,Original description: Traumatic brain injury with Motor >53.35 & Cognitive >23.5,"Original description: Traumatic brain injury with Motor >53.35 & Cognitive >23.5.,without comorbidities,10/2019 description: Traumatic brain injury M >=73.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0202,Original description: Traumatic brain injury with Motor >44.25 & Motor <53.35 & ,"Original description: Traumatic brain injury with Motor >44.25 & Motor <53.35 & Cognitive >23.5.,without comorbidities,10/2019 description: Traumatic brain injury M >=61.50 and M <73.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0203,Original description: Traumatic brain injury with Motor >44.25 & Cognitive <23.5,"Original description: Traumatic brain injury with Motor >44.25 & Cognitive <23.5.,without comorbidities,10/2019 description: Traumatic brain injury M >=49.50 and M <61.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0204,"Original description: Traumatic brain injury with Motor >40.65 & Motor <44.25.,w","Original description: Traumatic brain injury with Motor >40.65 & Motor <44.25.,without comorbidities,10/2019 description: Traumatic brain injury M >=35.50 and M <49.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0205,"Original description: Traumatic brain injury with Motor >28.75 & Motor <40.65.,w","Original description: Traumatic brain injury with Motor >28.75 & Motor <40.65.,without comorbidities,10/2019 description: Traumatic brain injury M <35.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0206,"Traumatic brain injury with Motor >22.05 & Motor <28.75.,without comorbidities","Traumatic brain injury with Motor >22.05 & Motor <28.75.,without comorbidities",True,active,2005-10-01T00:00:00Z
A0207,"Traumatic brain injury with Motor <22.05.,without comorbidities","Traumatic brain injury with Motor <22.05.,without comorbidities",True,active,2005-10-01T00:00:00Z
A0301,"Original description: Non-traumatic brain injury with Motor >41.05.,without como","Original description: Non-traumatic brain injury with Motor >41.05.,without comorbidities,10/2019 description: Non-traumatic brain injury M >=65.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0302,Original description: Non-traumatic brain injury with Motor >35.05 & Motor <41.0,"Original description: Non-traumatic brain injury with Motor >35.05 & Motor <41.05.,without comorbidities,10/2019 description: Non-traumatic brain injury M >=52.50 and M <65.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0303,Original description: Non-traumatic brain injury with Motor >26.15 & Motor <35.0,"Original description: Non-traumatic brain injury with Motor >26.15 & Motor <35.05.,without comorbidities,10/2019 description: Non-traumatic brain injury M >=42.50 and M <52.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0304,"Original description: Non-traumatic brain injury with Motor <26.15.,without como","Original description: Non-traumatic brain injury with Motor <26.15.,without comorbidities,10/2019 description: Non-traumatic brain injury M <42.50 and A >=78.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0305,"Non-traumatic brain injury M <42.50 and A <78.50.,without comorbidities","Non-traumatic brain injury M <42.50 and A <78.50.,without comorbidities",True,active,2019-10-01T00:00:00Z
A0401,"Original description: Traumatic spinal cord injury with Motor >48.45.,without co","Original description: Traumatic spinal cord injury with Motor >48.45.,without comorbidities,10/2019 description: Traumatic spinal cord injury M >=56.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0402,Original description: Traumatic spinal cord injury with Motor >30.35 & Motor <48,"Original description: Traumatic spinal cord injury with Motor >30.35 & Motor <48.45.,without comorbidities,10/2019 description: Traumatic spinal cord injury M >=47.50 and M <56.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0403,Original description: Traumatic spinal cord injury with Motor >16.05 & Motor <30,"Original description: Traumatic spinal cord injury with Motor >16.05 & Motor <30.35.,without comorbidities,10/2019 description: Traumatic spinal cord injury M >=41.50 and M <47.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0404,Original description: Traumatic spinal cord injury with Motor <16.05 & Age >63.5,"Original description: Traumatic spinal cord injury with Motor <16.05 & Age >63.5.,without comorbidities,10/2019 description: Traumatic spinal cord injury M <31.50 and A <61.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0405,Original description: Traumatic spinal cord injury with Motor <16.05 & Age <63.5,"Original description: Traumatic spinal cord injury with Motor <16.05 & Age <63.5.,without comorbidities,10/2019 description: Traumatic spinal cord injury M >=31.50 and M <41.50.,without comorbidities",True,active,2005-10-01T00:00:00Z
A0406,"Traumatic spinal cord injury M >=24.50 and M <31.50 and A >=61.50.,without comor","Traumatic spinal cord injury M >=24.50 and M <31.50 and A >=61.50.,without comorbidities",True,active,2019-10-01T00:00:00Z
A0407,"Traumatic spinal cord injury M <24.50 and A >=61.50.,without comorbidities","Traumatic spinal cord injury M <24.50 and A >=61.50.,without comorbidities",True,active,2019-10-01T00:00:00Z
A0501,"Original description: Non-traumatic spinal cord injury with Motor >51.35.,withou","Original description: Non-traumatic spinal cord injury with Motor >51.35.,without comorbidities,10/2019 description: Non-traumatic spinal cord injury M >=60.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0502,Original description: Non-traumatic spinal cord injury with Motor >40.15 & Motor,"Original description: Non-traumatic spinal cord injury with Motor >40.15 & Motor <51.35.,without comorbidities,10/2019 description: Non-traumatic spinal cord injury M >=53.50 and M <60.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0503,Original description: Non-traumatic spinal cord injury with Motor >31.25 & Motor,"Original description: Non-traumatic spinal cord injury with Motor >31.25 & Motor <40.15.,without comorbidities,10/2019 description: Non-traumatic spinal cord injury M >=48.50 and M <53.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0504,Original description: Non-traumatic spinal cord injury with Motor >29.25 & Motor,"Original description: Non-traumatic spinal cord injury with Motor >29.25 & Motor <31.25.,without comorbidities,10/2019 description: Non-traumatic spinal cord injury M >=39.50 and M <48.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0505,Original description: Non-traumatic spinal cord injury with Motor >23.75 & Motor,"Original description: Non-traumatic spinal cord injury with Motor >23.75 & Motor <29.25.,without comorbidities,10/2019 description: Non-traumatic spinal cord injury M <39.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
A0506,"Non-traumatic spinal cord injury with Motor <23.75.,without comorbidities","Non-traumatic spinal cord injury with Motor <23.75.,without comorbidities",True,active,2005-10-01T00:00:00Z
A0601,"Original description: Neurological with Motor >47.75.,without comorbidities,10/2","Original description: Neurological with Motor >47.75.,without comorbidities,10/2019 description: Neurological M >=64.50.,without comorbidities",True,active,2002-01-01T00:00:00Z
