parent_code,child_code,relationship
A00,A00.0,is-a
A00,A00.1,is-a
A00,A00.9,is-a
A01,A01.0,is-a
A01,A01.1,is-a
A01,A01.2,is-a
A01,A01.3,is-a
A01,A01.4,is-a
A01.0,A01.00,is-a
A01.0,A01.01,is-a
A01.0,A01.02,is-a
A01.0,A01.03,is-a
A01.0,A01.04,is-a
A01.0,A01.05,is-a
A01.0,A01.09,is-a
A02,A02.0,is-a
A02,A02.1,is-a
A02,A02.2,is-a
A02,A02.8,is-a
A02,A02.9,is-a
A02.2,A02.20,is-a
A02.2,A02.21,is-a
A02.2,A02.22,is-a
A02.2,A02.23,is-a
A02.2,A02.24,is-a
A02.2,A02.25,is-a
A02.2,A02.29,is-a
A03,A03.0,is-a
A03,A03.1,is-a
A03,A03.2,is-a
A03,A03.3,is-a
A03,A03.8,is-a
A03,A03.9,is-a
A04,A04.0,is-a
A04,A04.1,is-a
A04,A04.2,is-a
A04,A04.3,is-a
A04,A04.4,is-a
A04,A04.5,is-a
A04,A04.6,is-a
A04,A04.7,is-a
A04,A04.8,is-a
A04,A04.9,is-a
A04.7,A04.71,is-a
A04.7,A04.72,is-a
A05,A05.0,is-a
A05,A05.1,is-a
A05,A05.2,is-a
A05,A05.3,is-a
A05,A05.4,is-a
A05,A05.5,is-a
A05,A05.8,is-a
A05,A05.9,is-a
A06,A06.0,is-a
A06,A06.1,is-a
A06,A06.2,is-a
A06,A06.3,is-a
A06,A06.4,is-a
A06,A06.5,is-a
A06,A06.6,is-a
A06,A06.7,is-a
A06,A06.8,is-a
A06,A06.9,is-a
A06.8,A06.81,is-a
A06.8,A06.82,is-a
A06.8,A06.89,is-a
A07,A07.0,is-a
A07,A07.1,is-a
A07,A07.2,is-a
A07,A07.3,is-a
A07,A07.4,is-a
A07,A07.8,is-a
A07,A07.9,is-a
A08,A08.0,is-a
A08,A08.1,is-a
A08,A08.2,is-a
A08,A08.3,is-a
A08,A08.4,is-a
A08,A08.8,is-a
A08.1,A08.11,is-a
A08.1,A08.19,is-a
A08.3,A08.31,is-a
A08.3,A08.32,is-a
A08.3,A08.39,is-a
A15,A15.0,is-a
A15,A15.4,is-a
A15,A15.5,is-a
A15,A15.6,is-a
A15,A15.7,is-a
A15,A15.8,is-a
A15,A15.9,is-a
A17,A17.0,is-a
A17,A17.1,is-a
A17,A17.8,is-a
A17,A17.9,is-a
A17.8,A17.81,is-a
A17.8,A17.82,is-a
A17.8,A17.83,is-a
A17.8,A17.89,is-a
A18,A18.0,is-a
A18,A18.1,is-a
A18,A18.2,is-a
A18,A18.3,is-a
A18,A18.4,is-a
A18,A18.5,is-a
A18,A18.6,is-a
A18,A18.7,is-a
A18,A18.8,is-a
A18.0,A18.01,is-a
A18.0,A18.02,is-a
A18.0,A18.03,is-a
A18.0,A18.09,is-a
A18.1,A18.10,is-a
A18.1,A18.11,is-a
A18.1,A18.12,is-a
A18.1,A18.13,is-a
A18.1,A18.14,is-a
A18.1,A18.15,is-a
A18.1,A18.16,is-a
A18.1,A18.17,is-a
A18.1,A18.18,is-a
A18.3,A18.31,is-a
A18.3,A18.32,is-a
A18.3,A18.39,is-a
A18.5,A18.50,is-a
A18.5,A18.51,is-a
A18.5,A18.52,is-a
A18.5,A18.53,is-a
A18.5,A18.54,is-a
A18.5,A18.59,is-a
A18.8,A18.81,is-a
A18.8,A18.82,is-a
A18.8,A18.83,is-a
A18.8,A18.84,is-a
A18.8,A18.85,is-a
A18.8,A18.89,is-a
A19,A19.0,is-a
A19,A19.1,is-a
A19,A19.2,is-a
A19,A19.8,is-a
A19,A19.9,is-a
A20,A20.0,is-a
A20,A20.1,is-a
A20,A20.2,is-a
A20,A20.3,is-a
A20,A20.7,is-a
A20,A20.8,is-a
A20,A20.9,is-a
A21,A21.0,is-a
A21,A21.1,is-a
A21,A21.2,is-a
A21,A21.3,is-a
A21,A21.7,is-a
A21,A21.8,is-a
A21,A21.9,is-a
A22,A22.0,is-a
A22,A22.1,is-a
A22,A22.2,is-a
A22,A22.7,is-a
A22,A22.8,is-a
A22,A22.9,is-a
A23,A23.0,is-a
A23,A23.1,is-a
A23,A23.2,is-a
A23,A23.3,is-a
A23,A23.8,is-a
A23,A23.9,is-a
A24,A24.0,is-a
A24,A24.1,is-a
A24,A24.2,is-a
A24,A24.3,is-a
A24,A24.9,is-a
A25,A25.0,is-a
A25,A25.1,is-a
A25,A25.9,is-a
A26,A26.0,is-a
A26,A26.7,is-a
A26,A26.8,is-a
A26,A26.9,is-a
A27,A27.0,is-a
A27,A27.8,is-a
A27,A27.9,is-a
A27.8,A27.81,is-a
A27.8,A27.89,is-a
A28,A28.0,is-a
A28,A28.1,is-a
A28,A28.2,is-a
A28,A28.8,is-a
A28,A28.9,is-a
A30,A30.0,is-a
A30,A30.1,is-a
A30,A30.2,is-a
A30,A30.3,is-a
A30,A30.4,is-a
A30,A30.5,is-a
A30,A30.8,is-a
A30,A30.9,is-a
A31,A31.0,is-a
A31,A31.1,is-a
A31,A31.2,is-a
A31,A31.8,is-a
A31,A31.9,is-a
A32,A32.0,is-a
A32,A32.1,is-a
A32,A32.7,is-a
A32,A32.8,is-a
A32,A32.9,is-a
A32.1,A32.11,is-a
A32.1,A32.12,is-a
A32.8,A32.81,is-a
A32.8,A32.82,is-a
A32.8,A32.89,is-a
A36,A36.0,is-a
A36,A36.1,is-a
A36,A36.2,is-a
A36,A36.3,is-a
A36,A36.8,is-a
A36,A36.9,is-a
A36.8,A36.81,is-a
A36.8,A36.82,is-a
A36.8,A36.83,is-a
A36.8,A36.84,is-a
A36.8,A36.85,is-a
A36.8,A36.86,is-a
A36.8,A36.89,is-a
A37,A37.0,is-a
A37,A37.1,is-a
A37,A37.8,is-a
A37,A37.9,is-a
A37.0,A37.00,is-a
A37.0,A37.01,is-a
A37.1,A37.10,is-a
A37.1,A37.11,is-a
A37.8,A37.80,is-a
A37.8,A37.81,is-a
A37.9,A37.90,is-a
A37.9,A37.91,is-a
A38,A38.0,is-a
A38,A38.1,is-a
A38,A38.8,is-a
A38,A38.9,is-a
A39,A39.0,is-a
A39,A39.1,is-a
A39,A39.2,is-a
A39,A39.3,is-a
A39,A39.4,is-a
A39,A39.5,is-a
A39,A39.8,is-a
A39,A39.9,is-a
A39.5,A39.50,is-a
A39.5,A39.51,is-a
A39.5,A39.52,is-a
A39.5,A39.53,is-a
A39.8,A39.81,is-a
A39.8,A39.82,is-a
A39.8,A39.83,is-a
A39.8,A39.84,is-a
A39.8,A39.89,is-a
A40,A40.0,is-a
A40,A40.1,is-a
A40,A40.3,is-a
A40,A40.8,is-a
A40,A40.9,is-a
A41,A41.0,is-a
A41,A41.1,is-a
A41,A41.2,is-a
A41,A41.3,is-a
A41,A41.4,is-a
A41,A41.5,is-a
A41,A41.8,is-a
A41,A41.9,is-a
A41.0,A41.01,is-a
A41.0,A41.02,is-a
A41.5,A41.50,is-a
A41.5,A41.51,is-a
A41.5,A41.52,is-a
A41.5,A41.53,is-a
A41.5,A41.54,is-a
A41.5,A41.59,is-a
A41.8,A41.81,is-a
A41.8,A41.89,is-a
A42,A42.0,is-a
