code,description_short,description_long,is_billable,status,valid_from,mdc,drg_type,weight,gmlos,amlos
001,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITH MCC,True,active,2025-10-01T00:00:00Z,PRE,SURG,28.0239,25.8,36.2
002,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC,HEART TRANSPLANT OR IMPLANT OF HEART ASSIST SYSTEM WITHOUT MCC,True,active,2025-10-01T00:00:00Z,PRE,SURG,11.3318,8.5,14.0
003,"ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH","ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITH MAJOR O.R. PROCEDURES",True,active,2025-10-01T00:00:00Z,PRE,SURG,21.2252,22.9,33.0
004,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NEC","TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOUT MAJOR O.R. PROCEDURES",True,active,2025-10-01T00:00:00Z,PRE,SURG,13.8514,22.4,28.0
005,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,LIVER TRANSPLANT WITH MCC OR INTESTINAL TRANSPLANT,True,active,2025-10-01T00:00:00Z,PRE,SURG,10.3105,14.0,19.1
006,LIVER TRANSPLANT WITHOUT MCC,LIVER TRANSPLANT WITHOUT MCC,True,active,2025-10-01T00:00:00Z,PRE,SURG,4.6370,7.1,7.8
007,LUNG TRANSPLANT,LUNG TRANSPLANT,True,active,2025-10-01T00:00:00Z,PRE,SURG,12.9502,19.7,23.5
008,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT,True,active,2025-10-01T00:00:00Z,PRE,SURG,5.6046,8.5,10.0
010,PANCREAS TRANSPLANT,PANCREAS TRANSPLANT,True,active,2025-10-01T00:00:00Z,PRE,SURG,3.0699,5.9,6.0
011,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC","TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH MCC",True,active,2025-10-01T00:00:00Z,PRE,SURG,5.4541,11.4,13.9
012,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC","TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC",True,active,2025-10-01T00:00:00Z,PRE,SURG,4.2160,8.6,9.8
013,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC","TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC",True,active,2025-10-01T00:00:00Z,PRE,SURG,2.8818,6.5,7.1
014,ALLOGENEIC BONE MARROW TRANSPLANT,ALLOGENEIC BONE MARROW TRANSPLANT,True,active,2025-10-01T00:00:00Z,PRE,MED,12.0179,25.7,28.7
016,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,True,active,2025-10-01T00:00:00Z,PRE,MED,5.9297,16.1,17.2
